timestamp,flow1,occupancy1,flow2,occupancy2,flow3,occupancy3,totalflow,weekday,hour,minute,second
2016-01-01 00:38:03,1,0.0044,2,0.0111,1,0.0122,4,4,0,38,0
2016-01-01 00:38:34,2,0.01,3,0.0167,0,0,5,4,0,38,30
2016-01-01 00:39:04,0,0,0,0,0,0,0,4,0,39,0
2016-01-01 00:39:34,0,0,2,0.01,0,0,2,4,0,39,30
2016-01-01 00:40:03,1,0.0044,1,0.0067,1,0.0056,3,4,0,40,0
2016-01-01 00:40:33,0,0,7,0.0433,2,0.0111,9,4,0,40,30
2016-01-01 00:41:03,1,0.0044,4,0.0222,1,0.0033,6,4,0,41,0
2016-01-01 00:41:33,3,0.0144,2,0.01,1,0.0056,6,4,0,41,30
2016-01-01 00:42:04,1,0,2,0.0189,2,0.01,5,4,0,42,0
2016-01-01 00:42:34,0,0,2,0.0111,0,0,2,4,0,42,30
2016-01-01 00:43:04,0,0,1,0.0044,0,0,1,4,0,43,0
2016-01-01 00:43:33,0,0,3,0.0189,0,0,3,4,0,43,30
2016-01-01 00:44:03,3,0.0167,3,0.0178,4,0.0233,10,4,0,44,0
2016-01-01 00:44:33,1,0.0056,2,0.0111,2,0.01,5,4,0,44,30
2016-01-01 00:45:03,3,0.0167,3,0.0189,3,0.0167,9,4,0,45,0
2016-01-01 00:45:34,4,0.0233,4,0.0233,3,0.0189,11,4,0,45,30
2016-01-01 00:46:04,1,0.0044,6,0.0344,3,0.0356,10,4,0,46,0
2016-01-01 00:46:34,0,0,0,0,2,0.01,2,4,0,46,30
2016-01-01 00:47:03,1,0.0044,2,0.0122,0,0,3,4,0,47,0
2016-01-01 00:47:33,0,0,2,0.0122,3,0.02,5,4,0,47,30
2016-01-01 00:48:03,1,0.0044,1,0.0033,3,0.0189,5,4,0,48,0
2016-01-01 00:48:34,2,0.01,2,0.0111,1,0.0111,5,4,0,48,30
2016-01-01 00:49:04,2,0.01,8,0.0478,3,0.0178,13,4,0,49,0
2016-01-01 00:49:34,0,0,2,0.01,2,0.0044,4,4,0,49,30
2016-01-01 00:50:04,2,0.01,5,0.0278,2,0.0111,9,4,0,50,0
2016-01-01 00:50:34,3,0.0189,4,0.0244,2,0.01,9,4,0,50,30
2016-01-01 00:51:03,0,0,3,0.0189,0,0,3,4,0,51,0
2016-01-01 00:51:33,1,0.0056,1,0.0044,2,0.0111,4,4,0,51,30
